settunger..e.1	siattunger..nn.1
sia..e.1	sea..vb.1
silder..e.1	sylder..nn.1
siliker..e.1	seliker..av.1
sinaleþis..e.1	sinleþis..ab.1
sinast..e.1	sent..ab.1
siskini..e.1	syskini..nn.1
sizskini..e.1	syskini..nn.1
siar..e.1	sior..nn.1
siulter..e.1	sulter..nn.1
siunattinger..e.1	siunættinger..nn.1
siægl_træ..e.1	sæghl_træ..nn.1
siælia..e.1	sælia..vb.1
siæng..e.1	siang..nn.1
skaft..e.1	skapt..nn.1
skalla_budh..e.1	skal_buþ..nn.1
skarþa..e.1	skærþa..vb.1
skeling..e.1	skillinger..nn.1
skild..e.1	skyld..nn.1
skipalagh..e.1	skiplagh..nn.1
skirskuta..e.1	skærskuta..vb.1
skiurta..e.1	skyrta..nn.1
sko..e.1	skor..nn.1
skogh_hog..e.1	skoghar_hug..nn.1
skogs_mærki..e.1	skogha_mærki..nn.1
skoli..e.1	skuli..nn.1
skotning..e.1	skötning..nn.1
skoþa..e.1	skuþa..vb.1
skul..e.1	skyl..nn.1
skut..e.1	skot..nn.1
skuvin..e.1	skiuva..vb.1
skykia..e.1	skökia..nn.1
skyldman..e.1	skyldar_man..nn.1
skylla..e.1	skylda..vb.1
skyria..e.1	spyria..vb.1
skyrskuta..e.1	skærskuta..vb.1
skyul..e.1	skyl..nn.1
skæfta..e.1	skæpta..vb.1
skælia_maþer..e.1	skila_maþer..nn.1
skæmber..e.1	skamt..ab.1
skærda..e.1	skærþa..vb.1
sköt_bogher..e.1	skut_bogher..nn.1
slatto_dagher..e.1	slæto_dagher..nn.1
sleþa_ran..e.1	sliþa_ran..nn.1
sliþi..e.1	slæþi..nn.1
smier..e.1	smör..nn.1
smærre..e.1	smar..av.1
snara..e.1	snæra..nn.1
snepa..e.1	snöpa..vb.1
sniekia..e.1	snækkia..nn.1
sokning..e.1	sökning..nn.1
sonnodagher..e.1	sunnudagher..nn.1
sot..e.2	sökia..vb.1
sotter..e.1	sökia..vb.1
soyþer..e.1	söþer..nn.1
span..e.1	spander..nn.1
sper..e.1	spiær..nn.1
spetzeri..e.1	spisseri..nn.1
spöria..e.1	spyria..vb.1
stader..e.1	staþer..nn.1
staf..e.1	staver..nn.1
stain..e.1	sten..nn.1
staur..e.1	stör..nn.1
sticki..e.1	stykki..nn.1
stild..e.1	styld..nn.1
stilta..e.1	stylta..nn.1
stoa..e.1	stuva..nn.1
studh..e.1	stuþ..nn.1
stufn..e.1	stumn..nn.1
stuga..e.1	stuva..nn.1
styntre..e.1	stunter..av.1
stæd..e.1	stæþ..nn.1
sufa..e.1	sova..vb.1
sukn..e.1	sykn..av.1
sundagh..e.1	sunnudagher..nn.1
sunder..e.1	synia..vb.1
suþer..e.1	siuþer..nn.1
suþu..e.1	siuþa..vb.1
svafu..e.1	sova..vb.1
sverf..e.1	svarf..nn.1
svo..e.1	sva..ab.1
svænsker..e.1	svensker..av.1
sydri..e.1	syþri..av.1
sykia..e.1	sökia..vb.1
sylf..e.1	silver..nn.1
sylter..e.1	sulter..nn.1
syna_arver..e.1	sunar_arver..nn.1
synnudagher..e.1	sunnudagher..nn.1
sæla..e.1	sala..nn.1
sæli..e.1	sali..nn.1
sæng..e.1	siang..nn.1
sætta_mal..e.1	sæktar_mal..nn.1
sæþis_spander..e.1	sæþa_spander..nn.1
sökn_..e.1	sykn..av.1
söknari..e.1	soknari..nn.1
söndre..e.1	syþri..av.1
sönia..e.1	synia..vb.1
tålle..e.1	tulle..nn.1
tamder..e.1	tæmia..vb.1
tegel..e.1	tighil..nn.1
tegn..e.1	tekn..nn.1
teghskipt..e.1	tegha_skipt..nn.1
tidh..e.1	tiþer..nn.1
tidare..e.1	titt..ab.1
tigher..e.1	tiugher..nn.1
til_agha..e.1	tillagha..nn.1
tillægna..e.1	tilegna..vb.1
trave..e.1	þravi..nn.1
trolshamber..e.1	hamber..nn.1
trulldomber..e.1	troldomber..nn.1
tveböte..e.1	tvæböti..nn.1
tvisvær..e.1	tysvar..ab.1
tygge..e.1	þiggia..vb.1
tynnæ..e.1	tunna..nn.1
tæverne..e.1	taverne..nn.1
töker..e.1	tyker..av.1
tösvar..e.1	tysvar..ab.1
þagh..e.1	þiggia..vb.1
þaigin..e.1	þöghine..ab.1
þanbrika..e.1	þangbrækka..nn.1
þanni..e.1	þænni..nn.1
þarf..e.2	þorva..vb.1
theliker..e.1	þyliker..av.1
þengat..e.1	þingat..ab.1
þengbrækka..e.1	þangbrækka..nn.1
þeþan..e.1	þæþan..ab.1
þighat..e.1	þingat..ab.1
þiliker..e.1	þyliker..av.1
þinganga..e.1	þings_ganga..nn.1
thingdagh..e.1	þings_dagher..nn.1
þingfriþer..e.1	þingsfriþer..nn.1
þinghriþ..e.1	þingariþ..nn.1
þingta..e.1	þinga..vb.1
þing_timi..e.1	þings_timi..nn.1
þissi..e.1	þænni..nn.1
þiuþer..e.1	tiuþer..nn.1
þiængn..e.1	þægn..nn.1
þorfa..e.1	þorva..vb.1
þoygi..e.1	þöghine..ab.1
þreskulli..e.1	þriskuldi..nn.1
þriska..e.1	þryskia..vb.1
þrætolfter..e.1	þrætylfter..av.1
thrösvar..e.1	þrysvar..ab.1
þunki..e.1	þokki..nn.1
þura..e.1	þora..vb.1
þvar..e.1	þvær..av.1
þykla..e.1	þikla..ab.1
þærfliker..e.1	þarfliker..av.1
thærskolde..e.1	þriskuldi..nn.1
thörft..e.1	þorft..nn.1
u..e.1	ur..pp.1
ughurmaghi..e.1	ovormaghi..nn.1
ulu..e.1	skola..vb.1
umbli..e.1	humbli..nn.1
unninga_lagh..e.1	vinningæ_logh..nn.1
up_giora..e.1	up_göra..vb.1
up_læta..e.1	up_lata..vb.1
upsa_drup..e.1	opsadrup..nn.1
upsokn..e.1	ofsokn..nn.1
urf..e.1	orf..nn.1
uselde..e.1	ysalde..nn.1
uskabarn..e.1	oska_barn..nn.1
uskipt..e.1	utskipt..nn.1
utarster..e.1	ytarster..av.1
ute..e.1	uti..ab.1
utgæra..e.1	utgöra..vb.1
utgæva..e.1	ut_giva..vb.1
utlaghder..e.1	utlægher..av.1
uxi..e.1	oxi..nn.1
uæfli..e.1	ofæfli..nn.1
vafþer..e.1	vævia..vb.1
vaita..e.1	veta..vb.1
valla..e.1	valda..vb.1
vapnare..e.1	væpnare..nn.1
varnaþer..e.1	varþnaþer..nn.1
varþa_laus..e.1	varþlös..av.1
vatter..e.2	vanter..nn.1
vaxa..e.1	væxa..vb.1
vedermæle..e.1	viþermæli..nn.1
vedervåga..e.1	viþer_vagha..vb.1
veita..e.1	veta..vb.1
vecth..e.1	vikt..nn.1
vel..e.1	væl..ab.1
veruld..e.1	værald..nn.1
vidfællinger..e.1	vitfærlinger..nn.1
vighiandi..e.1	væghandi..nn.1
vighis_valder..e.1	vighvalder..nn.1
vighær_ærf..e.1	vigh_arf..nn.1
villehumble..e.1	vilhumble..nn.1
virning..e.1	virþning..nn.1
vitter..e.1	vinter..nn.1
vixl..e.1	vigsl..nn.1
vraka..e.1	vræka..vb.1
vrassvili..e.1	vreþs_vili..nn.1
vræsvili..e.1	vreþs_vili..nn.1
vullit..e.1	valda..vb.1
vurt..e.1	virþa..vb.1
vyndue..e.1	vindögha..nn.1
vyrda..e.1	virþa..vb.1
væitta..e.1	veta..vb.1
vældugher..e.1	valdugher..av.1
værkia..e.1	værka..vb.1
værld..e.1	værald..nn.1
væruld..e.1	værald..nn.1
væter..e.1	vinter..nn.1
væþia_kast..e.1	vaþa_kast..nn.1
væþtaki..e.1	væþia_taki..nn.1
vörda..e.1	virþa..vb.1
yfir..e.1	ivir..pp.1
yfri..e.1	yvri..av.1
ykorni..e.1	ikorni..nn.1
yr..e.1	ur..pp.1
yrtugh_land..e.1	örtogha_land..nn.1
ytarmer..e.1	ytermer..ab.1
ytirster..e.1	ytarster..av.1
yvi..e.1	ivir..pp.1
yver_hörogher..e.1	overhörig..av.1
yxi..e.1	öxe..nn.1
yxna..e.1	oxi..nn.1
æflinga_iorþ..e.1	aflinga_iorþ..nn.1
æfni..e.1	æmni..nn.1
æi..e.1	eigh..ab.1
ældi..e.1	ælli..nn.1
ælfti..e.1	æfla..vb.1
ælster..e.1	ældri..av.1
æmrikt..e.1	jamrift..av.1
ændaghi..e.1	endaghi..nn.1
ænga..e.1	enge..av.1
ænliti..e.1	anliti..nn.1
ænsak..e.1	ensak..nn.1
ænt..e.1	ænda..vb.1
ærin..e.1	arin..nn.1
ættir..e.1	æptir..pp.1
